sample	cluster	domain	phylum	class	order	family	genus	species
MGYG000003686	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__ER4	s__ER4 sp000765235
MGYG000003689	1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Faecalicoccus	s__Faecalicoccus sp900546545
MGYG000003691	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella disiens
MGYG000003694	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter faecis
MGYG000003695	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Ruminococcus_A	s__Ruminococcus_A sp003011855
MGYG000003699	1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Holdemanella	s__Holdemanella sp003436425
MGYG000003701	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides sp003480915
MGYG000003702	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__Eisenbergiella sp900066775
MGYG000003706	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__An181	s__An181 sp002160325
MGYG000003708	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Sedimentibacteraceae	g__Sedimentibacter	s__Sedimentibacter sp003457065
MGYG000003715	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Muricomes	s__Muricomes sp900604355
MGYG000003718	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__S5-A14a	s__S5-A14a sp900553025
MGYG000003726	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__S5-A14a	s__S5-A14a sp000758905
MGYG000003728	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Sodaliphilus	s__
MGYG000003731	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella amnii
MGYG000003742	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella buccalis
MGYG000003748	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Alterileibacterium	s__Alterileibacterium massiliense
MGYG000003752	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-180	s__
MGYG000003758	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Alterileibacterium	s__
MGYG000003763	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella brunnea
MGYG000003765	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella bergensis
MGYG000003766	2	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__HGM11327	g__HGM11327	s__
MGYG000003768	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Clostridium_A	s__
MGYG000003769	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnoclostridium	s__
MGYG000003770	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Flavonifractor	s__
MGYG000003771	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	s__Blautia sp002161285
MGYG000003777	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Muricomes	s__
MGYG000003783	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerosacchariphilus	s__Anaerosacchariphilus sp002160765
MGYG000003786	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Stomatobaculum	s__Stomatobaculum naviforme
MGYG000003794	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella timonensis
MGYG000003799	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Sodaliphilus	s__
MGYG000003812	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella colorans
MGYG000003814	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp900548585
MGYG000003816	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-485	s__
MGYG000003818	1	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__CAG-917	g__UMGS1688	s__UMGS1688 sp900545885
MGYG000003819	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UMGS1872	s__UMGS1872 sp900555795
MGYG000003820	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UBA5446	s__UBA5446 sp900543085
MGYG000003821	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A sp900549015
MGYG000003822	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__
MGYG000003824	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-110	s__CAG-110 sp900549495
MGYG000003826	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__UMGS1601	s__
MGYG000003828	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Frisingicoccus	s__
MGYG000003831	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-485	s__
MGYG000003833	1	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__CAG-74	g__WRGP01	s__
MGYG000003834	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__Eisenbergiella sp900550285
MGYG000003835	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__UBA7173	s__UBA7173 sp001915385
MGYG000003844	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminiclostridium_E	s__Ruminiclostridium_E sp900539195
MGYG000003849	1	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__CAG-917	g__CAG-475	s__CAG-475 sp900547975
MGYG000003856	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Paramuribaculum	s__Paramuribaculum sp900551515
MGYG000003858	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__UMGS363	s__
MGYG000003863	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Hydrogeniiclostridium	s__
MGYG000004899	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides sp900555635
MGYG000003867	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Catenibacillus	s__
MGYG000003869	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Flavonifractor	s__
MGYG000003874	1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Merdibacter	s__Merdibacter sp900759455
MGYG000003876	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Anaerotruncus	s__
MGYG000003878	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella oris
MGYG000003880	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__RC9	s__RC9 sp900543205
MGYG000003881	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-279	s__
MGYG000003884	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-110	s__
MGYG000003889	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-964	s__CAG-964 sp902789345
MGYG000003892	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__Roseburia sp900753715
MGYG000003893	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella multisaccharivorax
MGYG000003898	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__S5-A14a	s__
MGYG000003899	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium sp900539945
MGYG000004832	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter sp900549405
MGYG000003905	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__UBA1820	g__UBA1820	s__
MGYG000003908	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__Odoribacter	s__Odoribacter sp900541415
MGYG000003909	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Agathobaculum	s__
MGYG000003910	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__
MGYG000003911	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__QAMM01	s__QAMM01 sp900762715
MGYG000003912	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp000435635
MGYG000003916	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UMGS1474	s__UMGS1474 sp900547105
MGYG000003922	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides sp014385165
MGYG000003925	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-882	s__CAG-882 sp900545175
MGYG000003926	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Rikenella	s__Rikenella microfusus
MGYG000003927	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminiclostridium_E	s__
MGYG000003929	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-590	s__CAG-590 sp900544905
MGYG000003932	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-964	s__CAG-964 sp000435335
MGYG000003941	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__
MGYG000003949	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_F	s__Eubacterium_F sp900539115
MGYG000003952	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes sp900021155
MGYG000003954	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-303	s__CAG-303 sp900539455
MGYG000003957	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides sp014287585
MGYG000003959	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__HGM12713	s__HGM12713 sp900754175
MGYG000003960	1	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__CAG-552	g__CAG-552	s__CAG-552 sp000435495
MGYG000003961	3	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__CAG-138	g__RUG472	s__RUG472 sp900545265
MGYG000003966	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__UBA11512	s__UBA11512 sp003522145
MGYG000003967	1	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__QALW01	g__UMGS1338	s__UMGS1338 sp900550805
MGYG000003970	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__
MGYG000003971	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__VUNA01	s__VUNA01 sp002299625
MGYG000003975	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UBA9475	s__
MGYG000003984	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter sp900752395
MGYG000003985	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-873	s__CAG-873 sp002493945
MGYG000003986	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-485	s__CAG-485 sp900761855
MGYG000003987	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA1691	s__UBA1691 sp900544375
MGYG000003989	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes sp002161445
MGYG000003990	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Ruminococcus_E	s__Ruminococcus_E sp900314705
MGYG000003991	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__RC9	s__RC9 sp001915575
MGYG000003994	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA11471	g__UBA11471	s__
MGYG000003996	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__UMGS2055	s__UMGS2055 sp900557635
MGYG000003997	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__HGM12650	s__HGM12650 sp900761725
MGYG000004002	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__Butyricimonas	s__
MGYG000004003	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__
MGYG000004004	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-83	s__
MGYG000004006	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes sp000434235
MGYG000004009	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__
MGYG000004016	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__UBA1191	s__UBA1191 sp900549125
MGYG000004017	1	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__CAG-74	g__HGM11588	s__HGM11588 sp900754755
MGYG000004019	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides massiliensis_A
MGYG000004020	1	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__Borkfalkiaceae	g__Borkfalkia	s__
MGYG000004021	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA11471	g__UBA11471	s__UBA11471 sp900542765
MGYG000004022	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__HGM13222	s__HGM13222 sp900757485
MGYG000004024	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__UMGS1815	s__
MGYG000004026	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-873	s__
MGYG000004028	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-83	s__
MGYG000004029	1	d__Bacteria	p__Firmicutes	c__Bacilli	o__RFN20	f__CAG-631	g__	s__
MGYG000004030	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__UMGS911	s__
MGYG000004034	1	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__CAG-138	g__UBA1685	s__
MGYG000004035	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__UMGS1815	s__
MGYG000004036	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Monoglobales	f__Monoglobaceae	g__UMGS1820	s__UMGS1820 sp900545865
MGYG000004037	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA11471	g__UBA11471	s__
MGYG000004039	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UMGS2037	s__
MGYG000004043	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__UBA7173	s__
MGYG000004049	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UMGS1484	s__
MGYG000004050	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__RC9	s__
MGYG000004052	1	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__CAG-74	g__SFMI01	s__SFMI01 sp004556155
MGYG000004055	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_G	s__Eubacterium_G sp900548465
MGYG000004062	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UBA1777	s__
MGYG000004757	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA6398	s__UBA6398 sp900555645
MGYG000004067	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__CAG-274	g__	s__
MGYG000004068	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Intestinimonas	s__
MGYG000004071	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-83	s__CAG-83 sp900552475
MGYG000004074	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__HGM12998	s__HGM12998 sp900756495
MGYG000004075	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UMGS1591	s__
MGYG000004076	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UMGS1623	s__
MGYG000004079	1	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__HGM11327	g__HGM11327	s__HGM11327 sp900759935
MGYG000004082	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__AM51-8	s__AM51-8 sp900761925
MGYG000004087	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Enterocloster	s__Enterocloster sp900540675
MGYG000004090	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-279	s__CAG-279 sp900550025
MGYG000004092	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-83	s__CAG-83 sp900756715
MGYG000004093	1	d__Bacteria	p__Firmicutes_B	c__Peptococcia	o__Peptococcales	f__Peptococcaceae	g__UBA7185	s__
MGYG000004094	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__	s__
MGYG000004099	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__Eubacterium_R sp000433975
MGYG000004100	3	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__BX7	g__JAAYBB01	s__
MGYG000004104	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__HGM13233	s__HGM13233 sp900762805
MGYG000004107	1	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__CAG-74	g__Firm-11	s__
MGYG000004111	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Angelakisella	s__Angelakisella sp900547385
MGYG000004113	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__CAG-272	s__CAG-272 sp000433515
MGYG000004114	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__CAG-95 sp000438155
MGYG000004115	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UMGS1071	s__UMGS1071 sp900541905
MGYG000004116	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UMGS1591	s__
MGYG000004118	2	d__Bacteria	p__Firmicutes_B	c__Dehalobacteriia	o__UBA4068	f__UBA4068	g__HGM13862	s__
MGYG000004122	2	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__AM07-15	s__
MGYG000004123	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__QAKD01	s__
MGYG000004129	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Acutalibacter	s__Acutalibacter sp000435395
MGYG000004131	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UMGS1484	s__
MGYG000004132	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__V9D3004	s__V9D3004 sp900760345
MGYG000004133	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__HGM11514	f__HGM11514	g__	s__
MGYG000004135	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Agathobaculum	s__
MGYG000004136	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__Eisenbergiella sp900555195
MGYG000004140	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UMGS1375	s__UMGS1375 sp900551235
MGYG000004142	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Marseille-P3106	s__Marseille-P3106 sp900169975
MGYG000004143	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruthenibacterium	s__Ruthenibacterium sp900759375
MGYG000004144	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Monoglobales	f__Monoglobaceae	g__	s__
MGYG000004153	1	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__UBA1750	g__UBA7102	s__UBA7102 sp900760085
MGYG000004154	1	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__CAG-74	g__SFFH01	s__
MGYG000004157	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__HGM11514	f__HGM11514	g__HGM11514	s__HGM11514 sp900757255
MGYG000004159	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UMGS1623	s__
MGYG000004160	1	d__Bacteria	p__Firmicutes_A	c__Clostridia_A	o__Christensenellales	f__QALW01	g__QALW01	s__QALW01 sp900552055
MGYG000004163	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Evtepia	s__Evtepia sp900546255
MGYG000004164	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Monoglobales	f__Monoglobaceae	g__UMGS1494	s__UMGS1494 sp900552305
MGYG000004165	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__ER4	s__ER4 sp003522105
MGYG000004166	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-873	s__
MGYG000004169	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UMGS2037	s__
MGYG000004171	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__	s__
MGYG000004172	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__	s__
MGYG000004173	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__CAG-145	s__CAG-145 sp900754795
MGYG000004180	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__
MGYG000004184	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__QANG01	s__
MGYG000004185	2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides sp900553815
